AGENCYID,AGENCYTITLE,CLASSIFICATION,SERVICETYPE,FULLORPARTTIME,ANNUALSALARY
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 1,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Assistant,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Library Technician 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Laboratory Animal Technician 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Seed Analyst 2,Classified Staff,Full-Time,"$31,132.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$31,132.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,132.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,132.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,132.00 "
58030,OUS - Oregon State University,Instructor- ESL,Faculty,Full-Time,"$31,075.00 "
58030,OUS - Oregon State University,Registered Nurse 1,Classified Staff,Full-Time,"$30,925.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$30,915.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$30,915.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,915.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,908.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,908.00 "
58030,OUS - Oregon State University,Assistant Professor,Faculty,Full-Time,"$30,906.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,902.00 "
58030,OUS - Oregon State University,Administrator 2-Acad Programs,Executive/Admin and managerial,Full-Time,"$30,900.00 "
58030,OUS - Oregon State University,Specialist 2-Aquatic Husbandry,Other professionals,Full-Time,"$30,900.00 "
58030,OUS - Oregon State University,Coordinator-Non Rev Asst COA,Other professionals,Full-Time,"$30,900.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$30,900.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,852.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,852.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$30,830.00 "
58030,OUS - Oregon State University,Coordinator-Academic Program 1,Other professionals,Full-Time,"$30,708.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$30,662.00 "
58030,OUS - Oregon State University,Microbiologist 2,Classified Staff,Part-Time,"$30,585.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$30,576.00 "
58030,OUS - Oregon State University,Education Program Assistant 2,Classified Staff,Full-Time,"$30,576.00 "
58030,OUS - Oregon State University,Senior Graphic Designer,Classified Staff,Full-Time,"$30,576.00 "
58030,OUS - Oregon State University,Accountant 1,Classified Staff,Full-Time,"$30,576.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,534.00 "
58030,OUS - Oregon State University,Assistant Professor (Sr Res),Faculty,Part-Time,"$30,262.00 "
58030,OUS - Oregon State University,Coordinator-Res Program,Other professionals,Full-Time,"$30,190.00 "
58030,OUS - Oregon State University,Professor,Faculty,Part-Time,"$30,187.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$30,024.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$30,012.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,006.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,004.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,004.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,002.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,002.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,002.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$30,002.00 "
58030,OUS - Oregon State University,Info Technology Consultant,Classified Staff,Full-Time,"$30,000.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$30,000.00 "
58030,OUS - Oregon State University,Specialist 2-Bus & Process,Other professionals,Full-Time,"$30,000.00 "
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Laboratory Animal Technician 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Public Information Assistant,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Public Information Assistant,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Accounting Technician,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Property Specialist 3,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Custodian,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Vet Central Svcs Tech,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Library Technician 1,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Grounds Maintenance Worker 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Grounds Maintenance Worker 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Custodian,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Custodial Services Coordinator,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Assistant,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Campus Dispatcher,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Public Information Assistant,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$29,976.00 "
58030,OUS - Oregon State University,Cook 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Property Specialist 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Cashier 2,Classified Staff,Full-Time,"$29,972.00 "
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,"$29,947.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$29,894.00 "
58030,OUS - Oregon State University,Senior Faculty Research Asst I,Faculty,Full-Time,"$29,820.00 "
58030,OUS - Oregon State University,Registered Nurse 1,Classified Staff,Full-Time,"$29,735.00 "
58030,OUS - Oregon State University,Senior Instructor I,Faculty,Full-Time,"$29,712.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,701.00 "
58030,OUS - Oregon State University,Education Program Assistant 2,Classified Staff,Full-Time,"$29,701.00 "
58030,OUS - Oregon State University,Education Program Assistant 2,Classified Staff,Full-Time,"$29,701.00 "
