AGENCYID,AGENCYTITLE,CLASSIFICATION,SERVICETYPE,FULLORPARTTIME,ANNUALSALARY
58090,OUS - Portland State University,SPD UT Salary Pool < .50,Faculty,Part-Time,"$2,330.00 "
58090,OUS - Portland State University,SOG UX Director,Executive/Admin and managerial,Full-Time,"$136,680.00 "
58090,OUS - Portland State University,ACS UP Academic Adviser,Other professionals,Full-Time,"$45,144.00 "
58090,OUS - Portland State University,ENG UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,MEN UP Asc Prof,Faculty,Full-Time,"$92,340.00 "
58090,OUS - Portland State University,ATH UU Asst Mns Basketball Cch,Other professionals,Full-Time,"$66,012.00 "
58090,OUS - Portland State University,CCF UP Instructor/Trainer,Faculty,Full-Time,"$60,000.00 "
58090,OUS - Portland State University,ESR UP Assoc Prof,Faculty,Full-Time,"$63,783.00 "
58090,OUS - Portland State University,MUS UP Asst Prof,Faculty,Full-Time,"$57,222.00 "
58090,OUS - Portland State University,RSP UP First Stop Program Asst,Other professionals,Full-Time,"$49,512.00 "
58090,OUS - Portland State University,ECN UP Professor,Faculty,Full-Time,"$124,947.00 "
58090,OUS - Portland State University,FAO UP Outreach & Scholar Coor,Other professionals,Full-Time,"$48,024.00 "
58090,OUS - Portland State University,HST UP Professor,Faculty,Full-Time,"$96,021.00 "
58090,OUS - Portland State University,OAA UX Special Asst to VPAPLD,Other professionals,Full-Time,"$64,380.00 "
58090,OUS - Portland State University,FAP UU Utilities Manager,Skilled crafts,Full-Time,"$68,328.00 "
58090,OUS - Portland State University,REL UU Budget Ofcr/Strat Anlys,Other professionals,Full-Time,"$79,008.00 "
58090,OUS - Portland State University,ARC UP Asst Prof,Faculty,Full-Time,"$56,322.00 "
58090,OUS - Portland State University,EDU UT CI Cohort Pool,Faculty,Part-Time,"$1,250.00 "
58090,OUS - Portland State University,Analyst Programmer,Classified Staff,Full-Time,"$69,024.00 "
58090,OUS - Portland State University,Office Specialist 1,Classified Staff,Full-Time,"$25,854.00 "
58090,OUS - Portland State University,UGE UT Salary Pool < .50,Faculty,Part-Time,"$4,998.00 "
58090,OUS - Portland State University,CMP UP Professor,Faculty,Full-Time,"$170,577.00 "
58090,OUS - Portland State University,FLL UP Assc Prof,Faculty,Full-Time,"$65,637.00 "
58090,OUS - Portland State University,XCE UX Asc Vice Prov/Dir CEED,Executive/Admin and managerial,Full-Time,"$117,672.00 "
58090,OUS - Portland State University,CHE UP Asst Prof,Faculty,Full-Time,"$76,284.00 "
58090,OUS - Portland State University,MUS UT Salary Pool < .50,Faculty,Part-Time,$833.00 
58090,OUS - Portland State University,FLL UP Professor,Faculty,Part-Time,"$40,925.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$33,945.00 "
58090,OUS - Portland State University,CUS UP Rsch Asst,Faculty,Full-Time,"$63,408.00 "
58090,OUS - Portland State University,Oper Systems-Network Analyst,Classified Staff,Full-Time,"$74,688.00 "
58090,OUS - Portland State University,Accounting Technician,Classified Staff,Full-Time,"$33,945.00 "
58090,OUS - Portland State University,ART UT Salary Pool < .50,Faculty,Part-Time,"$6,664.00 "
58090,OUS - Portland State University,UGE UX Interim Dir Uni Studies,Executive/Admin and managerial,Full-Time,"$95,232.00 "
58090,OUS - Portland State University,Plumber,Classified Staff,Full-Time,"$56,679.00 "
58090,OUS - Portland State University,SBA UP Assistant Professor,Faculty,Full-Time,"$134,361.00 "
58090,OUS - Portland State University,"LAS UX Asc Dean, CLAS",Executive/Admin and managerial,Full-Time,"$100,524.00 "
58090,OUS - Portland State University,EEN UP Westside Prgm Dir,Faculty,Full-Time,"$103,584.00 "
58090,OUS - Portland State University,FAO UP Fin Aid Loan Counselor,Other professionals,Full-Time,"$40,008.00 "
58090,OUS - Portland State University,GGR UT Salary Pool < .50,Faculty,Part-Time,"$3,868.00 "
58090,OUS - Portland State University,FAD UU AstBudAnalystOfcCoord,Other professionals,Full-Time,"$54,012.00 "
58090,OUS - Portland State University,Info Technology Consultant,Classified Staff,Full-Time,"$36,945.00 "
58090,OUS - Portland State University,"ATH UU Asst Coach, Football",Other professionals,Full-Time,"$45,972.00 "
58090,OUS - Portland State University,"ESL UX Program Director, IELP",Other professionals,Full-Time,"$53,484.00 "
58090,OUS - Portland State University,CDC UX Program Coord,Other professionals,Full-Time,"$43,368.00 "
58090,OUS - Portland State University,PSY UT Hourly AFT,Faculty,Part-Time,"$8,278.00 "
58090,OUS - Portland State University,SBA UP Asc Prof,Faculty,Full-Time,"$135,342.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$31,158.00 "
58090,OUS - Portland State University,RRI UT Salary Pool < .50,Faculty,Part-Time,"$26,181.00 "
58090,OUS - Portland State University,AUX UU Evnts&PresSvcsMgr UPL,Other professionals,Full-Time,"$54,024.00 "
58090,OUS - Portland State University,RSP UX Assc VP forStratPartner,Executive/Admin and managerial,Full-Time,"$171,744.00 "
